¿En qué rango de edad te encuentras?,Ciudad de residencia,¿Cuál es tu motivación y/ó expectativa para postular al programa Track de mujeres?,Grado máximo de estudios alcanzados,¿Con qué definición te identificas actualmente? ,"Actualmente, ¿Cuáles son las 3 habilidades,  fortalezas o conocimientos que destacarías de ti?",¿Qué habilidades o conocimientos podrías o te gustaría adquirir o mejorar a través del programa?,"Actualmente, ¿Cuál es su fuente de ingresos?",¿Tienes acceso a una computadora e internet?,¿Tienes disponibilidad de asistir presencialmente 2 días seguidos a un taller (entre junio/julio y agosto)?,¿Qué días tienes mayor disponibilidad de tiempo para capacitarte o asistencia a eventos?,¿Cuál seria el horario de preferencia? ,¿Hace cuánto tiempo iniciaste en el mundo del emprendimiento?,Nombre del emprendimiento,Breve descripción en un párrafo del emprendimiento.,Rubro del emprendimiento,Antigüedad de tu emprendimiento en el que trabajas actualmente,¿Cuántas personas conforman tu emprendimiento actualmente? ,¿Cómo te enteraste del programa Track Mujeres,¿Dónde sueles buscar y compartir información? ¿Tienes alguna red social o plataforma favorita para mantenerte al día?,Categorizacion_Motivacion_Expectativa_Postulacion,Categorizacion_Habilidad_Adquisicion,Categoria_Habilidades_Destacadas
18 a 25 años,Tarija ,"Mi motivación es poder trabajar independientemente, hacer crecer mi negocio y generar también fuentes de empleo ",Licenciatura,Soy emprendedora,"Proactividad, perseverancia, entrenamiento o capacitación ",Me gustaría mejorar mis habilidades en ventas y marketing ,Aún no percibo ingresos,,,,,,,,,,,,,Crecer personalmente y actualizar sus conocimientos.,Marketing digital,Resiliencia y Determinación
41 a 45 años,El Alto,"Necesito de manera urgente potenciar mis conocimientos ya que desconozco la variedad de herramientas que me ayudarian en mi negocio,mismo que recien emprendi hace aproximadamente un año",Egresada de Carrera  de Parvularia,Trabajo y emprendo como actividad paralela,"1.Me considero trabajadora
2.Paciente
3.Perseverante",Habilidades técnicas y herramientas tecnologicas que me permitan sacar adelante mi emprendimiento,Ambos,Si,Si,Fines de semana,Noche,Hace más de un año,Creaciones Gimena,Mi emprendimiento de manera especifica es la confección de centros para señoras de pollera,Manufactura,De 1 a 5 años,1 a 2 personas (incluida mi persona),Referencias personales,Facebook,Crecer personalmente y actualizar sus conocimientos.,Marketing digital,Resiliencia y Determinación
Más de 50 años,La Paz,Poder avanzar en mi negocio,Maestria,Trabajo y emprendo como actividad paralela,"El aprender para realizar un buen trabajo, la perseverancia, y querer mejorar siempre",Manejo de redes ,Ambos,Si,Si,Fines de semana,Tarde,Hace más de 5 años,Punto bebe,Zapatitos de bebe en cuero de oveja,"Textil, moda, diseño y/ó venta de ropa",6 a 10 años,1 a 2 personas (incluida mi persona),Redes sociales Banco Sol,Linkedin,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Marketing digital,Resiliencia y Determinación
36 a 40 años,La Paz,Crecer y aprender para mejorar el manejo de mi emprendimiento.,Técnico medio o superior,Soy emprendedora,"Eduación infantil, tengo capacidad de elaborar talleres y  programas, siempre que me propongo algo doy todo de mi para lograrlo y amo aprender, todo lo veo clmo aprendizaje.","Administración
Marketing
Conocimientos generales para mejorar .",A través de mi empresa o emprendimiento,Si,Si,De lunes a viernes,Noche,Hace menos de 1 año,Educart Kids ,"Centro de desarrollo infantil, desarrollo integral desde bebés de 6 meses a niños de 14 años en diferentes actividades y programas para potenciar habilidades desarollar talentos.",Educación y formación,Menos de 1 año,3 y 5 personas (incluida mi persona),Otro,Facebook,Crecer personalmente y actualizar sus conocimientos.,Marketing digital,Desarrollo Personal y Profesional
26 a 30 años,La Paz,"Potenciar mis habilidades, mejorar las capacidades de liderazgo ",Licenciatura,Trabajo como dependiente,"Puntualidad, pro actividad responsabilidad ",Ser capaz de liderar un equipo ,Trabajo asalariado o eventual,,,,,,,,,,,,,Crecer personalmente y actualizar sus conocimientos.,Desarrollo personal y habilidades blandas,Desarrollo Personal y Profesional
31 a 35 años,Santa Cruz,Crecer en mi marca personal ,Diplomado,En búsqueda de empleo,"Empatia, trabajo en equipo, orden ","Carisma, soltura y liderazgo ",Aún no percibo ingresos,,,,,,,,,,,,,Crecer personalmente y actualizar sus conocimientos.,Desarrollo personal y habilidades blandas,Trabajo en Equipo y Colaboración
18 a 25 años,Santa Cruz,Mejorar mis dotes de emprendimiento ,Técnico medio o superior,Soy emprendedora,"Querer aprender 
Tener conocimiento base
Experiencia básica en emprendimiento ","Liderazgo 
Ventas
Finanzas",A través de mi empresa o emprendimiento,Si,Si,Fines de semana,Noche,Hace más de un año,MILIEL,Textiles y confección de cortinas,"Textil, moda, diseño y/ó venta de ropa",De 1 a 5 años,3 y 5 personas (incluida mi persona),Redes sociales Banco Sol,WhatsApp,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Finanzas_financiamiento,Emprendimiento e Innovación
36 a 40 años,La Paz,Es muy interesante ya que me gusta estar actualizada con toda la información correspondiente a cómo emprender un negocio ,Licenciatura,En búsqueda de empleo,"Dedicada 
Responsable
Dinámica ",Conocer sobre técnicas para emprender mi negocio de manera Eficaz y Responsable ,Trabajo asalariado o eventual,,,,,,,,,,,,,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Finanzas_financiamiento,Liderazgo y Empoderamiento
46 a 50 años,Santa Cruz,Para poder emprender algo,1 de secundaria ,Trabajo como dependiente,M encanta hacer postres ,Para poder vender mis productos ,Aún no percibo ingresos,,,,,,,,,,,,,Otro,Finanzas_financiamiento,Emprendimiento e Innovación
18 a 25 años,La Paz,"Quiero hacer realidad las ideas de emprendimiento que tengo, utilizando herramientas que me ayuden a validarlas y mejorar",Licenciatura,Trabajo y emprendo como actividad paralela,"creatividad, perseverancia, responsabilidad","estudio del mercado, estados financieros, validación idea de negocio",Trabajo asalariado o eventual,,,,,,,,,,,,,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Finanzas_financiamiento,Resiliencia y Determinación
36 a 40 años,El Alto,Aprender más ,Técnico medio o superior,Soy emprendedora,Comunicación. Honestidad y sinceridad. ,Manejo de los. Ingresos,A través de mi empresa o emprendimiento,Si,Si,Indiferente,Noche,Hace más de un año,AYD,Artículos en madera ,Artesanía y manualidades,6 a 10 años,1 a 2 personas (incluida mi persona),Redes sociales Banco Sol,Facebook,Aprender más sobre estrategias de marketing y el uso de nuevas tecnologías.,Finanzas_financiamiento,Comunicación y Redes
26 a 30 años,La Paz,"Quiero ampliar mi red de emprendedoras, aprender tácticas sobre agrandar mi emprendimiento, empoderarme como mujer para animarme a invertir más y hacer crecer mi pequeño negocio y aprender de otras mujeres a emprender sin barreras. ",Diplomado,Soy emprendedora,"Constante, persistente, dedicada ",No tener miedo la inversión. Adquirir experiencia de otras para poder crecer en mi negocio. Encontrar medios de publicidad para poderme apoyar. ,Ambos,Si,Si,Fines de semana,Mañana,Hace menos de 1 año,Lobonito.deti,Venta de joyas de acero inoxidable para empoderar y complementar la vestimenta de la mujer boliviana. ,"Textil, moda, diseño y/ó venta de ropa",De 1 a 5 años,Sólo yo,Referencias personales,Instagram,Crecer personalmente y actualizar sus conocimientos.,Finanzas_financiamiento,Resiliencia y Determinación
18 a 25 años,La Paz,Hacer crecer mi emprendimiento ,Bachiller,Aún me encuentro estudiando,"Conocimiento en chocolateria, habilidad manual y creatividad ",Herramientas que me ayuden a impulsar mi emprendimiento ,A través de mi empresa o emprendimiento,Si,Si,Fines de semana,Mañana,Hace más de 5 años,ChocoELA,Chocolates artesanales,Gastronomía y/ó alimentos,De 1 a 5 años,Sólo yo,Invitación directa,Facebook,Crecer personalmente y actualizar sus conocimientos.,Marketing digital,Emprendimiento e Innovación
36 a 40 años,La Paz,Tener mi propio negocio ,Licenciatura,Trabajo y emprendo como actividad paralela,"Organizada, perseverante y autodidacta",Administracion de tu propia empresa ,Ambos,Si,No,De lunes a viernes,Noche,Hace más de un año,Ventas de pañales ,Venta dde pañales por Internet ,"Belleza, cuidado personal",De 1 a 5 años,1 a 2 personas (incluida mi persona),Redes sociales Banco Sol,Facebook,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Finanzas_financiamiento,Resiliencia y Determinación
31 a 35 años,La Paz,Me encantaría empezar mi emprendimiento que siento que necesito tener una guía para hacerlo bien ,Diplomado,Trabajo y emprendo como actividad paralela,"Soy buena para negociar, de planificar y ejecutar eventos y tratar con proveedores, buena para tratar con personas ","Planificación económica y como manejar el dinero, como manejar equipos ",Trabajo asalariado o eventual,,,,,,,,,,,,,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Finanzas_financiamiento,Trabajo en Equipo y Colaboración
41 a 45 años,El Alto,Aprender como dirigir un negocio ,Bachiller,Soy emprendedora,"Facilidad de palabra, innovadora, detallista",Como dirigir un negocio ,A través de mi empresa o emprendimiento,Si,Si,De lunes a viernes,Tarde,Hace menos de 1 año,Diseño de vestimenta para mujeres de pollera,"Realizó el adornado de polleras, mantas y corset para mujeres de pollera que usan en recepciones sociales","Textil, moda, diseño y/ó venta de ropa",Menos de 1 año,Sólo yo,Referencias personales,Facebook,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Finanzas_financiamiento,Resiliencia y Determinación
46 a 50 años,Santa Cruz,Adquirir conocimientos nuevos ,Bachiller,Soy emprendedora,"Estudios en Cosmetologia y estética,  aprendo con rápido","Desconozco la enseñanza del programa,  pero adquirir un nuevo conocimiento es de gran ayuda .",A través de mi empresa o emprendimiento,Si,Si,Indiferente,Mañana,Hace más de un año,Metamorphosis ,"Gabinete estético, al cuidado de la piel y el bienestar corporal.","Belleza, cuidado personal",De 1 a 5 años,Sólo yo,Referencias personales,WhatsApp,Crecer personalmente y actualizar sus conocimientos.,Desarrollo personal y habilidades blandas,Emprendimiento e Innovación
41 a 45 años,La Paz,Aprender y potenciar el nivel de manejo administrativo para los negocios,Técnico medio o superior,Soy emprendedora,Creatividad. Perseverancia. Intuición ,Administrar,Trabajo asalariado o eventual,,,,,,,,,,,,,Crecer personalmente y actualizar sus conocimientos.,Herramientas digitales,Resiliencia y Determinación
41 a 45 años,Santa Cruz,Quiero mejorar mi comunicación y liderazgo ,Maestria,Trabajo como profesional independiente,"Empática , trabajo en equipo, compromiso ",Liderazgo y comunicación ,A través de mi empresa o emprendimiento,Si,Si,De lunes a viernes,Noche,Hace más de 10 años,Alpha,Empresa que se labora alimento natural para perros y productos naturales ,Gastronomía y/ó alimentos,De 1 a 5 años,Más de 5 (incluida mi persona),Eventos de networking,Instagram,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Marketing digital,Trabajo en Equipo y Colaboración
26 a 30 años,Santa Cruz,"Me encantaría formar parte del Track de Mujeres de Pista 8, para poder mejorar mis habilidades de administración financiera y aprender de expertos en el área. Considero que saber gestionar y administrar el dinero es esencial para el crecimiento de un negocio. De igual manera, me encantaría poder conectar con más mujeres emprendedoras y así poder aportar y aprender de la mano con más mujeres. Además, me motiva mucho poder aprender de mentores expertos como Viviana Angulo, Jose Jorge Saavedra y Leslie Meyer. Estaría muy agradecida de poder formar parte de este proyecto, que estoy segura ayudará a mi negocio a crecer. :)",Licenciatura,Soy emprendedora,"Estos son las 3 habilidades que destacaria de mi persona: 

1Desarrollo de Liderazgo:
Disfruto enormemente liderando y creciendo junto a mis clientes, quienes también son mis alumnos. Me apasiona compartir mi conocimiento y motivar a las personas para que alcancen su máximo potencial. Creo firmemente en el poder del liderazgo para inspirar y guiar a otros hacia el éxito. Además, encuentro una gran satisfacción en el crecimiento conjunto, donde tanto mis clientes como yo aprendemos y evolucionamos juntos.

2.Toma de Dcisiones:
Me emociona perseguir mis sueños y no tengo miedo de cometer errores en el camino. Veo cada error como una oportunidad de aprendizaje y crecimiento. Disfruto el desafío de establecer y alcanzar nuevos objetivos, y estoy constantemente buscando maneras de superar obstáculos y lograr mis metas. Mi pasión por la toma de decisiones radica en la oportunidad de explorar nuevos caminos y conquistar nuevos horizontes. :)

3. Trabajo en Equipo:
Valorizo profundamente a cada miembro de mi equipo y reconozco la importancia de trabajar juntos hacia un objetivo común. Disfruto colaborar con otras personas, compartiendo ideas y experiencias para encontrar soluciones creativas y efectivas.","Me encantaría aprender más sobre administracion financiera y ventas, son dos factores fundamentales para el crecimiento de mi negocio, y me encantaría poder aprender de expertos como JJ y Jaime.",A través de mi empresa o emprendimiento,Si,Si,Indiferente,Mañana,Hace más de 5 años,Quick English ,"Quick English es un instituto virtual de inglés que ofrece clases en línea para niños, adolescentes y jóvenes. Nuestro objetivo es enseñar inglés de manera innovadora, rompiendo con los métodos convencionales a los que los latinos estamos acostumbrados. Con cuatro años de experiencia en el mercado, Quick English ha ampliado su alcance y ahora cuenta con alumnos de todas partes de Bolivia. Representamos la comunidad de aprendices de inglés como segunda lengua más grande de Latinoamérica, organizando eventos tanto virtuales como presenciales en Bolivia.",Educación y formación,De 1 a 5 años,Más de 5 (incluida mi persona),Redes sociales Pista8,Instagram,Crecer personalmente y actualizar sus conocimientos.,Finanzas_financiamiento,Emprendimiento e Innovación
41 a 45 años,La Paz,Mejorar  mi capacidad de liderazgo para hacer que mi empresa pase al siguiente nivel crecimiento.,Maestria,Soy emprendedora,"Perseverancia, ganas de aprender, adaptabilidad","Toma de decisiones, manejo de personal y finanzas",A través de mi empresa o emprendimiento,Si,Si,Fines de semana,Mañana,Hace más de 10 años,OneTech,"Onetechnologies es una empresa creciente en soluciones de Tecnología de la Información que se especializa en proporcionar servicios y productos tecnologicos innovadores para empresas de diversos sectores. Nuestro equipo de expertos en TI está comprometido en ofrecer a nuestros clientes soluciones a medida que impulsan la eficiencia operativa, la productividad y el crecimiento empresarial.
Desde servicios de consultoría y diseño hasta implementación de soluciones y soporte técnico, estamos dedicados a brindar un soporte integral en tecnología para cumplir con las necesidades y metas de nuestros clientes. Con un enfoque en la calidad, la seguridad y la excelencia técnica, Onetechnologies se posiciona como un socio estratégico para empresas que buscan aprovechar al máximo el potencial de la tecnología en su negoci",Tecnología,6 a 10 años,Más de 5 (incluida mi persona),Redes sociales Banco Sol,Facebook,Crecer personalmente y actualizar sus conocimientos.,Toma de decisiones y negociación,Resiliencia y Determinación
18 a 25 años,Cochabamba,Adquirir nuevos conocimientos para poder desarrollar estrategias para el desarrollo de mi emprendimiento ,Técnico medio o superior,Soy emprendedora,"Resiliente, disruptiva, empática ","- Contabilidad básica para emprendimientos
- Diseño gráfico básico 
- Marketing y publicidad 
",A través de mi empresa o emprendimiento,Si,Si,De lunes a viernes,Tarde,Hace más de un año,Wist'u Vida ,Producción de guarapo artesanal y orgánico ,Gastronomía y/ó alimentos,De 1 a 5 años,3 y 5 personas (incluida mi persona),Redes sociales Banco Sol,Facebook,Crecer personalmente y actualizar sus conocimientos.,Finanzas_financiamiento,Resiliencia y Determinación
31 a 35 años,El Alto,Generar conocimiento con personas profesionales para mejorar mi emprendimiento ,Técnico medio o superior,Soy emprendedora,"Puntualidad, voluntad y determinación ","Marketing, ventas, finanzas ",A través de mi empresa o emprendimiento,Si,Si,Fines de semana,Mañana,Hace más de un año,Sabores gamer,Gastronomía ,Gastronomía y/ó alimentos,De 1 a 5 años,1 a 2 personas (incluida mi persona),Referencias personales,Facebook,Crecer personalmente y actualizar sus conocimientos.,Finanzas_financiamiento,Responsabilidad y Compromiso
26 a 30 años,La Paz,Quiero poner a prueba mi emprendimiento y generar un network activo.,Diplomado,Trabajo y emprendo como actividad paralela,"Creativa, responsable y aterrizada.",Estandarización de productos y envasados óptimos,Ambos,Si,Si,Indiferente,Mañana,Hace menos de 1 año,MorningMocktails,MorningMocktails se caracteriza por bebidas que se prepararon con el mismo proceso de coctelería sin embargo no llevan alcohol. Estas bebidas no solamente son sofisticadas sino también deliciosas y enérgicas con recetas propias. El método de comercialización por el momento es a pedido en porciones semanales y/o diarias con envases retornables.,Gastronomía y/ó alimentos,Menos de 1 año,1 a 2 personas (incluida mi persona),Redes sociales Banco Sol,Instagram,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Finanzas_financiamiento,Liderazgo y Empoderamiento
26 a 30 años,Cochabamba,Poseer mejores herramientas para potenciar mi trabajo independiente.,Licenciatura,Trabajo como profesional independiente,"Liderazgo, Escucha activa y me adapto con facilidad a distintos contextos.","Lograr entender cuál es el camino más apto para lograr éxito, mediante herramientas y experiencia de la comunidad y muy importante de los disertantes ",Trabajo asalariado o eventual,,,,,,,,,,,,,Crecer personalmente y actualizar sus conocimientos.,Marketing digital,Liderazgo y Empoderamiento
31 a 35 años,La Paz,Considero que aún necesito mayores herramientas y conocimientos para poder mejorar mi emprendimiento ,Licenciatura,Soy emprendedora,"Creativa, curiosa y exigente ",Mejorar la adminsistracion de mis redes sociales y el mkt general de mi emprendimiento ,A través de mi empresa o emprendimiento,Si,Si,De lunes a viernes,Mañana,Hace más de 5 años,Mujer Mistica Bolivia ,Creamos hermosas velas artesanales ,Artesanía y manualidades,De 1 a 5 años,Sólo yo,Invitación directa,Facebook,Crecer personalmente y actualizar sus conocimientos.,Marketing digital,Creatividad y Solución de Problemas
26 a 30 años,La Paz,Conectar con más mujeres emprendedoras para poder aprender de ellas y transmitirles también mis aciertos y errores en este proceso de emprender,Licenciatura,Trabajo y emprendo como actividad paralela,"Lo que más destacó es la Disciplina, la energía y la curiosidad que me permiten avanzar en lo profesional y personal ","Finanzas, Storytelling y la habilidad de trabajar en equipo de la mejor manera ",Trabajo asalariado o eventual,,,,,,,,,,,,,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Finanzas_financiamiento,Trabajo en Equipo y Colaboración
46 a 50 años,TARIJA,TRABAJO COMO ESPECIALISTA EN DERECHOS HUMANOS DE LA NIÑEZ Y ADOLESCENCIA CREACION DE PROGRAMA RESTAURATIVO ,ESPECIALIDAD ,Trabajo como profesional independiente,1. ESPECIALISTA EN DDHH DE NIÑOS Y ADOLESCENTES 2.ESPECIALISTA EN ADOPCIONES NACIONALES E INTERNACIONALES 3. PROPIETARIA DE LA FUNDACION ABOGADOS DE LOS NIÑOS ,MANEJO DE TECNICAS DE RELACIONA MIENTO CAPTACION DE GENTE QUE SE INVOLUCRE Y QUIERA AYUDAR A LA NIÑEZ FORMAR EL GRUPO DE EQUIPO MULTIDISCIPLINARIO A AYUDA A NIÑOS Y ADOLESCENTES CONVIRTIENDONOS EN SU APOYO Y POST APOYO PARA APOYARLOS EN SITUACIONES LEGALES COMO EDUCACIONALES ,Aún no percibo ingresos,,,,,,,,,,,,,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Herramientas digitales,Desarrollo Personal y Profesional
26 a 30 años,La Paz,Quiero que mi emprendimiento crezca de manera positiva en todas las áreas y coadyuvar a mejorar la vida de las personas ,Licenciatura,Soy emprendedora,"Disciplinada , creativa , organizada ","Habilidades de marketing, finanzas, planificación",Ambos,Si,Si,Fines de semana,Noche,Hace más de un año,Agendas Niky ,Las Agendas Financieras Niky son herramientas personalizadas que ayudan a las personas a administrar sus finanzas de manera efectiva.  Agendas Financieras Niky buscan empoderar a los individuos para que tomen el control de sus finanzas y alcancen sus objetivos económicos.,Actividad comercial,De 1 a 5 años,Sólo yo,Redes sociales Banco Sol,Facebook,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Finanzas_financiamiento,Trabajo en Equipo y Colaboración
36 a 40 años,Santa Cruz,Poder crecer y desarrollar mis habilidades como empresaria,Maestria,Soy emprendedora,"Orientación a resultados, innovación, orientación a las personas y liderazgo ",Orientación financiera y apertura comercial ,A través de mi empresa o emprendimiento,Si,Si,Indiferente,Tarde,Hace menos de 1 año,Talita cumi srl,"Consultora de gestión organización al, apoyo a mujeres y jóvenes en talleres de orientación ",Servicios profesionales y/ó consultorías,Menos de 1 año,3 y 5 personas (incluida mi persona),Redes sociales Pista8,Facebook,Crecer personalmente y actualizar sus conocimientos.,Finanzas_financiamiento,Emprendimiento e Innovación
31 a 35 años,Santa Cruz,"El potenciar a mujeres a salir adelante me incentiva mucho, reducir la brecha de género y mostrar que somos capaces de todo. Muchos de los inventos esenciales para nuestro día a día fueron realizados por mujeres pero nadie dice eso, el pararnos frente al mundo y por fin alzar la voz. ",Maestria,Trabajo como profesional independiente,"Diplomacia, análisis y educación ","Relacionamiento, administración y organización ",A través de mi empresa o emprendimiento,Si,Si,Indiferente,Mañana,Hace menos de 1 año,L’étiquette by Maria Daniela ,"Nació por una pasión a la etiqueta, protocolo y ceremonial y mis estudios en diplomacia y relaciones internacionales; yo lo denomino como mi resiliencia. Brindo talleres y master classes de etiqueta y protocolo, social o corporativo, y también ofrezco servicios de apoyo, supervisión o asesoría de protocolo y ceremonial.",Educación y formación,Menos de 1 año,Sólo yo,Redes sociales Pista8,Instagram,Crecer personalmente y actualizar sus conocimientos.,Herramientas digitales,Otras
